"country","year","sex","age","rate","generation","rating"
"Antigua and Barbuda",1988,"female","35-54 years",0,"Silent",18.4047711390636
"Antigua and Barbuda",1988,"male","35-54 years",0,"Silent",18.4047711390636
"Antigua and Barbuda",1989,"female","25-34 years",0,"Boomers",14.7895159491412
"Antigua and Barbuda",1989,"female","55-74 years",0,"G.I. Generation",23.8284993949173
"Antigua and Barbuda",1990,"female","75+ years",0,"G.I. Generation",23.8284993949173
"Antigua and Barbuda",1992,"female","5-14 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",1998,"male","15-24 years",0,"Generation X",10.5607452667814
"Antigua and Barbuda",1999,"male","5-14 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2000,"male","35-54 years",9.97,"Boomers",14.7895159491412
"Antigua and Barbuda",2001,"female","15-24 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2003,"female","15-24 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2003,"female","5-14 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2004,"female","15-24 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2004,"male","15-24 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2005,"female","15-24 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2006,"male","15-24 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2006,"male","55-74 years",0,"Silent",18.4047711390636
"Antigua and Barbuda",2007,"female","25-34 years",0,"Generation X",10.5607452667814
"Antigua and Barbuda",2007,"female","75+ years",0,"Silent",18.4047711390636
"Antigua and Barbuda",2008,"female","55-74 years",0,"Silent",18.4047711390636
"Antigua and Barbuda",2009,"male","75+ years",0,"Silent",18.4047711390636
"Antigua and Barbuda",2012,"female","75+ years",0,"Silent",18.4047711390636
"Antigua and Barbuda",2012,"male","75+ years",0,"Silent",18.4047711390636
"Antigua and Barbuda",2013,"female","25-34 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2013,"male","25-34 years",0,"Millenials",5.34215896064196
"Antigua and Barbuda",2014,"male","5-14 years",0,"Generation Z",0.635578544061303
"Antigua and Barbuda",2015,"female","55-74 years",15.62,"Boomers",14.7895159491412
"Antigua and Barbuda",2015,"male","35-54 years",0,"Generation X",10.5607452667814
"Argentina",1985,"female","35-54 years",4.23,"Silent",18.4047711390636
"Argentina",1987,"male","25-34 years",8.44,"Boomers",14.7895159491412
"Argentina",1987,"female","25-34 years",4,"Boomers",14.7895159491412
"Argentina",1989,"female","35-54 years",4.66,"Silent",18.4047711390636
"Argentina",1991,"male","15-24 years",6.54,"Generation X",10.5607452667814
"Argentina",1991,"female","25-34 years",3.33,"Boomers",14.7895159491412
"Argentina",1992,"male","55-74 years",23.25,"Silent",18.4047711390636
"Argentina",1992,"female","55-74 years",5.79,"Silent",18.4047711390636
"Argentina",1995,"male","75+ years",43.8,"G.I. Generation",23.8284993949173
"Argentina",1995,"male","5-14 years",0.45,"Millenials",5.34215896064196
"Argentina",1997,"male","5-14 years",0.55,"Millenials",5.34215896064196
"Argentina",1998,"male","35-54 years",12.73,"Boomers",14.7895159491412
"Argentina",1998,"female","75+ years",6,"G.I. Generation",23.8284993949173
"Argentina",1998,"female","5-14 years",0.6,"Millenials",5.34215896064196
"Argentina",1999,"male","55-74 years",23.46,"Silent",18.4047711390636
"Argentina",1999,"female","15-24 years",3.13,"Generation X",10.5607452667814
"Argentina",2000,"male","55-74 years",25.8,"Silent",18.4047711390636
"Argentina",2001,"female","25-34 years",3.05,"Generation X",10.5607452667814
"Argentina",2003,"female","15-24 years",5.49,"Millenials",5.34215896064196
"Argentina",2003,"female","25-34 years",2.41,"Generation X",10.5607452667814
"Argentina",2004,"male","75+ years",38.25,"Silent",18.4047711390636
"Argentina",2004,"male","25-34 years",15.19,"Generation X",10.5607452667814
"Argentina",2004,"male","5-14 years",1.22,"Millenials",5.34215896064196
"Argentina",2005,"female","35-54 years",3.8,"Boomers",14.7895159491412
"Argentina",2006,"female","15-24 years",5.35,"Millenials",5.34215896064196
"Argentina",2006,"male","5-14 years",1.11,"Millenials",5.34215896064196
"Argentina",2006,"female","5-14 years",0.76,"Millenials",5.34215896064196
"Argentina",2007,"male","5-14 years",1.27,"Generation Z",0.635578544061303
"Argentina",2008,"female","55-74 years",3.5,"Silent",18.4047711390636
"Argentina",2008,"female","5-14 years",0.58,"Generation Z",0.635578544061303
"Argentina",2009,"male","15-24 years",17.72,"Millenials",5.34215896064196
"Argentina",2010,"female","25-34 years",3.15,"Generation X",10.5607452667814
"Argentina",2010,"female","75+ years",2.75,"Silent",18.4047711390636
"Argentina",2011,"female","35-54 years",3.21,"Generation X",10.5607452667814
"Argentina",2011,"female","25-34 years",3.16,"Millenials",5.34215896064196
"Argentina",2011,"male","5-14 years",0.78,"Generation Z",0.635578544061303
"Argentina",2015,"female","55-74 years",3.55,"Boomers",14.7895159491412
"Armenia",1990,"female","55-74 years",2.68,"G.I. Generation",23.8284993949173
"Armenia",1991,"female","55-74 years",4.44,"Silent",18.4047711390636
"Armenia",1991,"female","25-34 years",1.17,"Boomers",14.7895159491412
"Armenia",1992,"male","5-14 years",0,"Millenials",5.34215896064196
"Armenia",1993,"male","35-54 years",6.72,"Boomers",14.7895159491412
"Armenia",1993,"male","25-34 years",5.56,"Boomers",14.7895159491412
"Armenia",1995,"female","75+ years",3.89,"G.I. Generation",23.8284993949173
"Armenia",1995,"male","15-24 years",3.19,"Generation X",10.5607452667814
"Armenia",1995,"female","5-14 years",0,"Millenials",5.34215896064196
"Armenia",1996,"female","55-74 years",3.97,"Silent",18.4047711390636
"Armenia",1996,"male","5-14 years",0.26,"Millenials",5.34215896064196
"Armenia",1997,"male","35-54 years",6.1,"Boomers",14.7895159491412
"Armenia",1997,"female","15-24 years",0,"Generation X",10.5607452667814
"Armenia",1998,"male","25-34 years",2.14,"Generation X",10.5607452667814
"Armenia",1998,"female","15-24 years",0,"Generation X",10.5607452667814
"Armenia",2000,"female","25-34 years",1.43,"Generation X",10.5607452667814
"Armenia",2000,"female","5-14 years",0,"Millenials",5.34215896064196
"Armenia",2000,"male","5-14 years",0,"Millenials",5.34215896064196
"Armenia",2002,"female","35-54 years",1.28,"Boomers",14.7895159491412
"Armenia",2002,"female","25-34 years",0.45,"Generation X",10.5607452667814
"Armenia",2003,"female","55-74 years",1.2,"Silent",18.4047711390636
"Armenia",2003,"female","25-34 years",0,"Generation X",10.5607452667814
"Armenia",2003,"female","5-14 years",0,"Millenials",5.34215896064196
"Armenia",2006,"female","5-14 years",0,"Millenials",5.34215896064196
"Armenia",2008,"female","55-74 years",1.92,"Silent",18.4047711390636
"Armenia",2009,"female","75+ years",1.25,"Silent",18.4047711390636
"Armenia",2009,"female","55-74 years",1.21,"Silent",18.4047711390636
"Armenia",2009,"female","35-54 years",0.69,"Boomers",14.7895159491412
"Armenia",2010,"female","35-54 years",1.17,"Generation X",10.5607452667814
"Armenia",2011,"male","55-74 years",5.64,"Boomers",14.7895159491412
"Armenia",2012,"female","35-54 years",1.63,"Generation X",10.5607452667814
"Armenia",2012,"female","25-34 years",1.54,"Millenials",5.34215896064196
"Armenia",2012,"female","5-14 years",0,"Generation Z",0.635578544061303
"Armenia",2014,"female","55-74 years",1.38,"Boomers",14.7895159491412
"Armenia",2014,"female","15-24 years",0.88,"Millenials",5.34215896064196
"Armenia",2014,"female","5-14 years",0.58,"Generation Z",0.635578544061303
"Armenia",2014,"male","5-14 years",0,"Generation Z",0.635578544061303
"Armenia",2015,"female","15-24 years",1.42,"Millenials",5.34215896064196
"Armenia",2016,"male","75+ years",19.37,"Silent",18.4047711390636
"Armenia",2016,"male","15-24 years",2.47,"Millenials",5.34215896064196
"Aruba",1995,"male","55-74 years",21.94,"Silent",18.4047711390636
"Aruba",1999,"female","75+ years",0,"G.I. Generation",23.8284993949173
"Aruba",2000,"female","35-54 years",12.8,"Boomers",14.7895159491412
"Aruba",2001,"female","35-54 years",0,"Boomers",14.7895159491412
"Aruba",2001,"female","75+ years",0,"Silent",18.4047711390636
"Aruba",2003,"male","35-54 years",12.93,"Boomers",14.7895159491412
"Aruba",2003,"male","75+ years",0,"Silent",18.4047711390636
"Aruba",2004,"male","35-54 years",12.67,"Boomers",14.7895159491412
"Aruba",2004,"female","25-34 years",0,"Generation X",10.5607452667814
"Aruba",2005,"male","35-54 years",18.74,"Boomers",14.7895159491412
"Aruba",2005,"male","75+ years",0,"Silent",18.4047711390636
"Aruba",2006,"female","35-54 years",10.93,"Boomers",14.7895159491412
"Aruba",2007,"female","75+ years",0,"Silent",18.4047711390636
"Aruba",2010,"female","75+ years",0,"Silent",18.4047711390636
"Aruba",2010,"male","15-24 years",0,"Millenials",5.34215896064196
"Aruba",2011,"female","55-74 years",9.49,"Boomers",14.7895159491412
"Australia",1985,"male","35-54 years",21.55,"Silent",18.4047711390636
"Australia",1986,"female","55-74 years",8.04,"G.I. Generation",23.8284993949173
"Australia",1987,"female","25-34 years",5.27,"Boomers",14.7895159491412
"Australia",1987,"female","5-14 years",0.08,"Generation X",10.5607452667814
"Australia",1989,"male","15-24 years",25.23,"Generation X",10.5607452667814
"Australia",1990,"male","75+ years",31.42,"G.I. Generation",23.8284993949173
"Australia",1990,"female","25-34 years",7.78,"Boomers",14.7895159491412
"Australia",1991,"male","15-24 years",25.18,"Generation X",10.5607452667814
"Australia",1991,"female","35-54 years",7.62,"Boomers",14.7895159491412
"Australia",1993,"male","25-34 years",27.73,"Boomers",14.7895159491412
"Australia",1993,"female","5-14 years",0.16,"Millenials",5.34215896064196
"Australia",1995,"male","35-54 years",23.41,"Boomers",14.7895159491412
"Australia",1996,"male","75+ years",35.25,"G.I. Generation",23.8284993949173
"Australia",1997,"male","25-34 years",36.82,"Generation X",10.5607452667814
"Australia",1997,"male","15-24 years",30.37,"Generation X",10.5607452667814
"Australia",1999,"female","15-24 years",5.48,"Generation X",10.5607452667814
"Australia",2000,"male","35-54 years",26.9,"Boomers",14.7895159491412
"Australia",2002,"female","15-24 years",4.41,"Millenials",5.34215896064196
"Australia",2003,"male","75+ years",21.62,"Silent",18.4047711390636
"Australia",2003,"female","55-74 years",5.36,"Silent",18.4047711390636
"Australia",2004,"female","75+ years",5.51,"Silent",18.4047711390636
"Australia",2006,"female","35-54 years",6.65,"Boomers",14.7895159491412
"Australia",2006,"female","15-24 years",4.9,"Millenials",5.34215896064196
"Australia",2007,"male","15-24 years",15.44,"Millenials",5.34215896064196
"Australia",2007,"female","35-54 years",7.24,"Boomers",14.7895159491412
"Australia",2007,"female","5-14 years",0.3,"Generation Z",0.635578544061303
"Australia",2008,"male","25-34 years",23.41,"Generation X",10.5607452667814
"Australia",2008,"male","75+ years",21.88,"Silent",18.4047711390636
"Australia",2009,"male","55-74 years",17.52,"Silent",18.4047711390636
"Australia",2011,"male","35-54 years",22.91,"Generation X",10.5607452667814
"Australia",2012,"female","35-54 years",8.19,"Generation X",10.5607452667814
"Australia",2012,"female","75+ years",6.25,"Silent",18.4047711390636
"Australia",2013,"male","75+ years",25.51,"Silent",18.4047711390636
"Australia",2013,"male","25-34 years",19.33,"Millenials",5.34215896064196
"Australia",2013,"female","25-34 years",5.67,"Millenials",5.34215896064196
"Australia",2014,"male","55-74 years",20.67,"Boomers",14.7895159491412
"Australia",2014,"female","35-54 years",8.68,"Generation X",10.5607452667814
"Australia",2014,"female","15-24 years",6.31,"Millenials",5.34215896064196
"Australia",2015,"male","15-24 years",17.46,"Millenials",5.34215896064196
"Austria",1985,"male","25-34 years",42.28,"Boomers",14.7895159491412
"Austria",1985,"female","25-34 years",10.28,"Boomers",14.7895159491412
"Austria",1985,"female","5-14 years",0.44,"Generation X",10.5607452667814
"Austria",1986,"male","25-34 years",48.22,"Boomers",14.7895159491412
"Austria",1987,"male","15-24 years",29.24,"Generation X",10.5607452667814
"Austria",1987,"female","5-14 years",0.45,"Generation X",10.5607452667814
"Austria",1988,"male","35-54 years",45.04,"Silent",18.4047711390636
"Austria",1988,"female","35-54 years",15.06,"Silent",18.4047711390636
"Austria",1988,"female","15-24 years",4.7,"Generation X",10.5607452667814
"Austria",1989,"male","15-24 years",27.1,"Generation X",10.5607452667814
"Austria",1990,"female","75+ years",36.14,"G.I. Generation",23.8284993949173
"Austria",1990,"female","5-14 years",0.46,"Generation X",10.5607452667814
"Austria",1992,"male","5-14 years",1.06,"Millenials",5.34215896064196
"Austria",1992,"female","5-14 years",0.22,"Millenials",5.34215896064196
"Austria",1993,"female","5-14 years",0.88,"Millenials",5.34215896064196
"Austria",1994,"male","35-54 years",40.32,"Boomers",14.7895159491412
"Austria",1994,"female","5-14 years",1.31,"Millenials",5.34215896064196
"Austria",1996,"male","75+ years",123.94,"G.I. Generation",23.8284993949173
"Austria",1996,"male","5-14 years",0.83,"Millenials",5.34215896064196
"Austria",1997,"male","55-74 years",44.45,"Silent",18.4047711390636
"Austria",1997,"male","35-54 years",34.6,"Boomers",14.7895159491412
"Austria",1997,"male","5-14 years",0.41,"Millenials",5.34215896064196
"Austria",1998,"male","75+ years",101.77,"G.I. Generation",23.8284993949173
"Austria",1998,"female","15-24 years",5.08,"Generation X",10.5607452667814
"Austria",1999,"female","25-34 years",5.84,"Generation X",10.5607452667814
"Austria",1999,"female","15-24 years",5.32,"Generation X",10.5607452667814
"Austria",2000,"female","25-34 years",5.51,"Generation X",10.5607452667814
"Austria",2002,"male","55-74 years",43.08,"Silent",18.4047711390636
"Austria",2003,"female","55-74 years",11.99,"Silent",18.4047711390636
"Austria",2004,"male","55-74 years",39.9,"Silent",18.4047711390636
"Austria",2004,"male","35-54 years",27.79,"Boomers",14.7895159491412
"Austria",2004,"male","25-34 years",21.59,"Generation X",10.5607452667814
"Austria",2005,"male","15-24 years",16.1,"Millenials",5.34215896064196
"Austria",2006,"female","5-14 years",0,"Millenials",5.34215896064196
"Austria",2007,"male","55-74 years",34.1,"Silent",18.4047711390636
"Austria",2007,"male","15-24 years",17.96,"Millenials",5.34215896064196
"Austria",2007,"female","5-14 years",0,"Generation Z",0.635578544061303
"Austria",2008,"male","55-74 years",34.01,"Silent",18.4047711390636
"Austria",2008,"male","15-24 years",11.37,"Millenials",5.34215896064196
"Austria",2009,"female","55-74 years",11.34,"Silent",18.4047711390636
"Austria",2009,"female","25-34 years",3.34,"Generation X",10.5607452667814
"Austria",2010,"female","25-34 years",4.64,"Generation X",10.5607452667814
"Austria",2011,"female","15-24 years",4.62,"Millenials",5.34215896064196
"Austria",2012,"female","15-24 years",1.21,"Millenials",5.34215896064196
"Austria",2016,"female","55-74 years",9.81,"Boomers",14.7895159491412
"Azerbaijan",1990,"female","5-14 years",0,"Generation X",10.5607452667814
"Azerbaijan",1991,"male","35-54 years",4.35,"Boomers",14.7895159491412
"Azerbaijan",1992,"male","25-34 years",3.78,"Boomers",14.7895159491412
"Azerbaijan",1992,"male","15-24 years",3.37,"Generation X",10.5607452667814
"Azerbaijan",1993,"male","75+ years",7.71,"G.I. Generation",23.8284993949173
"Azerbaijan",1993,"male","25-34 years",3.14,"Boomers",14.7895159491412
"Azerbaijan",1993,"female","25-34 years",1.29,"Boomers",14.7895159491412
"Azerbaijan",1994,"female","5-14 years",0,"Millenials",5.34215896064196
"Azerbaijan",1995,"male","55-74 years",2.12,"Silent",18.4047711390636
"Azerbaijan",1995,"male","15-24 years",1.36,"Generation X",10.5607452667814
"Azerbaijan",1996,"male","55-74 years",4.96,"Silent",18.4047711390636
"Azerbaijan",1996,"female","55-74 years",0.43,"Silent",18.4047711390636
"Azerbaijan",1996,"female","25-34 years",0.3,"Generation X",10.5607452667814
"Azerbaijan",1997,"male","35-54 years",4.87,"Boomers",14.7895159491412
"Azerbaijan",1997,"male","25-34 years",3.22,"Generation X",10.5607452667814
"Azerbaijan",1997,"female","15-24 years",0.95,"Generation X",10.5607452667814
"Azerbaijan",1998,"male","55-74 years",1.98,"Silent",18.4047711390636
"Azerbaijan",1998,"male","25-34 years",1.76,"Generation X",10.5607452667814
"Azerbaijan",1999,"female","25-34 years",0.28,"Generation X",10.5607452667814
"Azerbaijan",1999,"male","75+ years",0,"G.I. Generation",23.8284993949173
"Azerbaijan",2001,"female","25-34 years",3.43,"Generation X",10.5607452667814
"Azerbaijan",2002,"male","15-24 years",1.13,"Millenials",5.34215896064196
"Azerbaijan",2002,"female","75+ years",1.12,"Silent",18.4047711390636
"Azerbaijan",2003,"male","25-34 years",1.98,"Generation X",10.5607452667814
"Azerbaijan",2004,"female","55-74 years",1.14,"Silent",18.4047711390636
"Azerbaijan",2007,"male","75+ years",3.98,"Silent",18.4047711390636
"Azerbaijan",2007,"female","35-54 years",0.39,"Boomers",14.7895159491412
"Bahamas",1985,"male","25-34 years",0,"Boomers",14.7895159491412
"Bahamas",1987,"male","25-34 years",4.78,"Boomers",14.7895159491412
"Bahamas",1987,"female","75+ years",0,"G.I. Generation",23.8284993949173
"Bahamas",1993,"male","55-74 years",10.1,"Silent",18.4047711390636
"Bahamas",1993,"male","75+ years",0,"G.I. Generation",23.8284993949173
"Bahamas",1995,"male","25-34 years",3.8,"Generation X",10.5607452667814
"Bahamas",1995,"female","55-74 years",0,"Silent",18.4047711390636
"Bahamas",1997,"female","25-34 years",0,"Generation X",10.5607452667814
"Bahamas",1999,"female","55-74 years",0,"Silent",18.4047711390636
"Bahamas",2000,"female","55-74 years",6.47,"Silent",18.4047711390636
"Bahamas",2001,"male","35-54 years",2.68,"Boomers",14.7895159491412
"Bahamas",2002,"female","25-34 years",0,"Generation X",10.5607452667814
"Bahamas",2002,"male","55-74 years",0,"Silent",18.4047711390636
"Bahamas",2004,"male","15-24 years",3.53,"Millenials",5.34215896064196
"Bahamas",2004,"female","55-74 years",0,"Silent",18.4047711390636
"Bahamas",2005,"female","25-34 years",3.72,"Generation X",10.5607452667814
"Bahamas",2005,"female","15-24 years",0,"Millenials",5.34215896064196
"Bahamas",2005,"female","35-54 years",0,"Boomers",14.7895159491412
"Bahamas",2007,"male","25-34 years",3.7,"Generation X",10.5607452667814
"Bahamas",2008,"male","5-14 years",3.48,"Generation Z",0.635578544061303
"Bahamas",2008,"female","35-54 years",0,"Boomers",14.7895159491412
"Bahamas",2008,"female","5-14 years",0,"Generation Z",0.635578544061303
"Bahamas",2010,"female","15-24 years",6.29,"Millenials",5.34215896064196
"Bahamas",2010,"male","15-24 years",3.13,"Millenials",5.34215896064196
"Bahamas",2011,"male","55-74 years",4.51,"Boomers",14.7895159491412
"Bahamas",2011,"female","25-34 years",3.43,"Millenials",5.34215896064196
"Bahamas",2012,"male","15-24 years",6.11,"Millenials",5.34215896064196
"Bahamas",2013,"female","75+ years",0,"Silent",18.4047711390636
"Bahamas",2013,"male","25-34 years",0,"Millenials",5.34215896064196
"Bahrain",1985,"male","55-74 years",0,"G.I. Generation",23.8284993949173
"Bahrain",1987,"female","55-74 years",0,"G.I. Generation",23.8284993949173
"Bahrain",1997,"female","5-14 years",0,"Millenials",5.34215896064196
"Bahrain",1998,"female","5-14 years",0,"Millenials",5.34215896064196
"Bahrain",1999,"female","35-54 years",1.65,"Boomers",14.7895159491412
"Bahrain",1999,"male","75+ years",0,"G.I. Generation",23.8284993949173
"Bahrain",2001,"female","5-14 years",0,"Millenials",5.34215896064196
"Bahrain",2002,"female","5-14 years",0,"Millenials",5.34215896064196
"Bahrain",2002,"female","55-74 years",0,"Silent",18.4047711390636
"Bahrain",2003,"male","25-34 years",8.51,"Generation X",10.5607452667814
"Bahrain",2003,"female","15-24 years",0,"Millenials",5.34215896064196
"Bahrain",2003,"male","5-14 years",0,"Millenials",5.34215896064196
"Bahrain",2004,"male","55-74 years",19.31,"Silent",18.4047711390636
"Bahrain",2004,"female","25-34 years",4.41,"Generation X",10.5607452667814
"Bahrain",2005,"female","55-74 years",0,"Silent",18.4047711390636
"Bahrain",2006,"female","75+ years",0,"Silent",18.4047711390636
"Bahrain",2007,"female","35-54 years",1.82,"Boomers",14.7895159491412
"Bahrain",2008,"male","75+ years",0,"Silent",18.4047711390636
"Bahrain",2009,"male","75+ years",0,"Silent",18.4047711390636
"Bahrain",2010,"male","5-14 years",0,"Generation Z",0.635578544061303
"Bahrain",2011,"female","15-24 years",1.32,"Millenials",5.34215896064196
"Bahrain",2012,"male","5-14 years",0,"Generation Z",0.635578544061303
"Bahrain",2012,"male","55-74 years",0,"Boomers",14.7895159491412
"Bahrain",2013,"female","55-74 years",0,"Boomers",14.7895159491412
"Barbados",1985,"female","55-74 years",0,"G.I. Generation",23.8284993949173
"Barbados",1985,"male","35-54 years",0,"Silent",18.4047711390636
"Barbados",1985,"male","5-14 years",0,"Generation X",10.5607452667814
"Barbados",1987,"female","25-34 years",0,"Boomers",14.7895159491412
"Barbados",1988,"male","15-24 years",7.58,"Generation X",10.5607452667814
"Barbados",1988,"female","75+ years",0,"G.I. Generation",23.8284993949173
"Barbados",1990,"female","35-54 years",7.69,"Silent",18.4047711390636
"Barbados",1990,"female","5-14 years",0,"Generation X",10.5607452667814
"Barbados",1992,"male","15-24 years",0,"Generation X",10.5607452667814
"Barbados",1992,"male","5-14 years",0,"Millenials",5.34215896064196
"Barbados",1992,"male","75+ years",0,"G.I. Generation",23.8284993949173
"Barbados",1993,"male","75+ years",18.87,"G.I. Generation",23.8284993949173
"Barbados",1993,"female","55-74 years",5.29,"Silent",18.4047711390636
"Barbados",1995,"male","15-24 years",4.44,"Generation X",10.5607452667814
"Barbados",2001,"male","75+ years",0,"Silent",18.4047711390636
"Barbados",2003,"female","5-14 years",0,"Millenials",5.34215896064196
"Barbados",2004,"female","15-24 years",0,"Millenials",5.34215896064196
"Barbados",2004,"female","35-54 years",0,"Boomers",14.7895159491412
"Barbados",2005,"female","5-14 years",0,"Millenials",5.34215896064196
"Barbados",2006,"male","55-74 years",5.12,"Silent",18.4047711390636
"Barbados",2006,"male","15-24 years",0,"Millenials",5.34215896064196
"Barbados",2007,"female","55-74 years",0,"Silent",18.4047711390636
"Barbados",2008,"male","75+ years",0,"Silent",18.4047711390636
"Barbados",2009,"female","35-54 years",0,"Boomers",14.7895159491412
"Barbados",2011,"female","35-54 years",0,"Generation X",10.5607452667814
"Barbados",2012,"female","5-14 years",0,"Generation Z",0.635578544061303
"Barbados",2012,"male","55-74 years",0,"Boomers",14.7895159491412
"Belarus",1990,"male","75+ years",47.81,"G.I. Generation",23.8284993949173
"Belarus",1990,"male","25-34 years",42.49,"Boomers",14.7895159491412
"Belarus",1990,"female","25-34 years",5.36,"Boomers",14.7895159491412
"Belarus",1992,"male","55-74 years",59.23,"Silent",18.4047711390636
"Belarus",1992,"male","5-14 years",3.65,"Millenials",5.34215896064196
"Belarus",1993,"male","15-24 years",24.2,"Generation X",10.5607452667814
"Belarus",1993,"female","15-24 years",5.18,"Generation X",10.5607452667814
"Belarus",1994,"female","35-54 years",13.25,"Boomers",14.7895159491412
"Belarus",1996,"female","15-24 years",5.83,"Generation X",10.5607452667814
"Belarus",1998,"female","35-54 years",13.2,"Boomers",14.7895159491412
"Belarus",1999,"male","75+ years",85.53,"G.I. Generation",23.8284993949173
"Belarus",1999,"male","25-34 years",79.41,"Generation X",10.5607452667814
"Belarus",1999,"male","15-24 years",37.33,"Generation X",10.5607452667814
"Belarus",2001,"male","25-34 years",69.35,"Generation X",10.5607452667814
"Belarus",2001,"female","75+ years",21.06,"Silent",18.4047711390636
"Belarus",2001,"female","55-74 years",14.8,"Silent",18.4047711390636
"Belarus",2001,"female","25-34 years",7.66,"Generation X",10.5607452667814
"Belarus",2001,"female","5-14 years",0.31,"Millenials",5.34215896064196
"Belarus",2008,"female","35-54 years",12.15,"Boomers",14.7895159491412
"Belarus",2008,"female","25-34 years",9.13,"Generation X",10.5607452667814
"Belarus",2010,"male","15-24 years",33.91,"Millenials",5.34215896064196
"Belarus",2010,"female","15-24 years",5.83,"Millenials",5.34215896064196
"Belarus",2010,"female","5-14 years",0.23,"Generation Z",0.635578544061303
"Belarus",2011,"male","25-34 years",46.18,"Millenials",5.34215896064196
"Belarus",2011,"female","15-24 years",5.63,"Millenials",5.34215896064196
"Belarus",2013,"male","25-34 years",40.55,"Millenials",5.34215896064196
"Belarus",2013,"male","15-24 years",23.79,"Millenials",5.34215896064196
"Belarus",2013,"female","15-24 years",4.34,"Millenials",5.34215896064196
"Belarus",2014,"male","55-74 years",42.24,"Boomers",14.7895159491412
"Belgium",1985,"female","15-24 years",4.43,"Generation X",10.5607452667814
"Belgium",1987,"male","5-14 years",1.75,"Generation X",10.5607452667814
"Belgium",1987,"female","5-14 years",0,"Generation X",10.5607452667814
"Belgium",1988,"male","35-54 years",33.8,"Silent",18.4047711390636
"Belgium",1990,"female","75+ years",21.61,"G.I. Generation",23.8284993949173
"Belgium",1990,"male","5-14 years",0.32,"Generation X",10.5607452667814
"Belgium",1992,"female","75+ years",21.93,"G.I. Generation",23.8284993949173
"Belgium",1993,"female","75+ years",22.43,"G.I. Generation",23.8284993949173
"Belgium",1994,"female","35-54 years",15.96,"Boomers",14.7895159491412
"Belgium",1994,"female","15-24 years",3.74,"Generation X",10.5607452667814
"Belgium",1995,"female","15-24 years",6.15,"Generation X",10.5607452667814
"Belgium",1996,"female","35-54 years",15.51,"Boomers",14.7895159491412
"Belgium",1996,"female","5-14 years",0.34,"Millenials",5.34215896064196
"Belgium",1997,"male","35-54 years",42.41,"Boomers",14.7895159491412
"Belgium",1997,"female","55-74 years",15.91,"Silent",18.4047711390636
"Belgium",1998,"male","55-74 years",34.65,"Silent",18.4047711390636
"Belgium",1999,"male","35-54 years",37.39,"Boomers",14.7895159491412
